description,amount,category,payment_mode,date
Toll road highway,1503.83,Transportation,Card,2024-10-19
Amazon Prime renewal,1481.18,Entertainment,UPI,2024-07-20
Sovereign gold bond,19427.19,Investments & Savings,Cash,2024-04-10
Auto rickshaw fare,1122.57,Transportation,UPI,2024-03-09
Myntra dress kurta,2339.63,Shopping,UPI,2024-09-10
Property tax payment,4156.12,Bills & Utilities,UPI,2024-11-07
McDonald's lunch,1252.64,Food & Dining,EMI,2024-06-19
School fees monthly,3252.59,Education,Card,2024-08-17
Ola auto rickshaw,1782.73,Transportation,EMI,2024-03-09
Health insurance premium,2780.05,Healthcare,EMI,2024-11-21
Grocery vegetables fruits,412.22,Food & Dining,UPI,2024-08-26
Petrol fuel bike,1968.35,Transportation,EMI,2024-02-15
Flight ticket travel,280.76,Transportation,Net Banking,2024-11-13
Mutual fund SIP payment,6888.97,Investments & Savings,EMI,2024-10-24
Health insurance premium,2395.82,Healthcare,Card,2024-11-23
EMI loan payment,4139.59,Bills & Utilities,Card,2024-08-02
Dosa idli breakfast,543.25,Food & Dining,Cash,2024-07-06
Kitchen utensils buy,6131.9,Shopping,UPI,2024-08-03
Grocery supermarket,1638.04,Shopping,UPI,2024-05-28
Auto rickshaw fare,757.36,Transportation,EMI,2024-03-14
Chai samosa street food,96.08,Food & Dining,UPI,2024-04-08
Crypto investment buy,1620.03,Investments & Savings,Card,2024-12-05
NPS pension fund,18819.5,Investments & Savings,EMI,2024-06-14
EPF employee provident,656.4,Investments & Savings,Card,2024-11-08
Vitamin supplements,2820.21,Healthcare,Cash,2024-09-13
RD recurring deposit,17742.27,Investments & Savings,UPI,2024-10-04
Grocery vegetables fruits,950.68,Food & Dining,EMI,2024-02-03
Auto rickshaw fare,1764.89,Transportation,EMI,2024-07-16
RD recurring deposit,10891.14,Investments & Savings,Net Banking,2024-04-08
Amazon Prime renewal,1639.79,Entertainment,Cash,2024-11-12
RD recurring deposit,1328.68,Investments & Savings,UPI,2024-11-02
Reliance Smart groceries,6640.73,Shopping,EMI,2024-05-11
Bus pass monthly,1663.82,Transportation,UPI,2024-01-11
Insurance premium LIC,2099.87,Bills & Utilities,UPI,2024-10-28
Home decor items,1820.75,Shopping,Card,2024-05-22
Language learning app,4890.96,Education,EMI,2024-02-17
Rapido bike taxi,1421.65,Transportation,UPI,2024-07-14
Language learning app,1357.86,Education,UPI,2024-11-19
Cricket match ticket,1038.14,Entertainment,Cash,2024-09-19
DTH recharge tata sky,4565.06,Bills & Utilities,Cash,2024-11-14
Gym membership fees,2067.3,Healthcare,Cash,2024-05-24
Swiggy pizza delivery,1038.48,Food & Dining,EMI,2024-05-25
Stationery notebooks pen,14352.05,Education,UPI,2024-06-15
NSC post office,10699.95,Investments & Savings,Card,2024-05-13
Chai samosa street food,574.89,Food & Dining,Card,2024-09-16
Gift birthday present,7563.9,Shopping,Net Banking,2024-02-28
NEET coaching fees,9164.02,Education,Net Banking,2024-05-18
Uber cab ride office,1426.31,Transportation,UPI,2024-09-26
Milk bread eggs,138.39,Food & Dining,Cash,2024-01-02
Stationery notebooks pen,14522.53,Education,EMI,2024-10-08
Municipal water bill,338.95,Bills & Utilities,Cash,2024-01-10
Water bill monthly,3125.56,Bills & Utilities,Net Banking,2024-10-22
Petrol car fill up,105.37,Transportation,EMI,2024-07-12
Mutual fund SIP payment,24473.02,Investments & Savings,Net Banking,2024-11-24
ELSS tax saving fund,23614.88,Investments & Savings,Cash,2024-05-25
Vitamin supplements,2698.04,Healthcare,Net Banking,2024-10-21
Books stationery purchase,6551.11,Shopping,UPI,2024-08-12
Ajio fashion clothing,6053.71,Shopping,EMI,2024-10-22
BEST bus Mumbai,1908.26,Transportation,Net Banking,2024-09-24
D-Mart household items,2471.82,Shopping,Card,2024-05-23
Parking charges mall,1968.19,Transportation,EMI,2024-01-22
Flipkart order clothes,5826.02,Shopping,Cash,2024-02-24
Dental checkup clinic,421.58,Healthcare,EMI,2024-08-17
NSC post office,13956.25,Investments & Savings,Net Banking,2024-09-26
PPF account deposit,13758.51,Investments & Savings,UPI,2024-02-16
Cafe coffee snacks,396.09,Food & Dining,Net Banking,2024-03-22
ELSS tax saving fund,17730.51,Investments & Savings,UPI,2024-04-24
Crypto investment buy,7732.21,Investments & Savings,Card,2024-06-08
BEST bus Mumbai,1819.07,Transportation,UPI,2024-02-21
Ambulance emergency,1713.17,Healthcare,UPI,2024-05-19
Medicine pharmacy purchase,2399.98,Healthcare,UPI,2024-11-21
Chai samosa street food,543.36,Food & Dining,Card,2024-04-25
BookMyShow event,948.99,Entertainment,Cash,2024-10-14
Diagnostic lab test,2548.84,Healthcare,UPI,2024-09-25
Netflix subscription monthly,1249.29,Entertainment,Net Banking,2024-06-12
ELSS tax saving fund,20727.29,Investments & Savings,Card,2024-11-25
Health insurance premium,454.47,Healthcare,Cash,2024-11-25
Insurance premium LIC,4855.79,Bills & Utilities,UPI,2024-08-26
ULIPpremium payment,22152.04,Investments & Savings,UPI,2024-04-07
Netflix subscription monthly,1497.52,Entertainment,Net Banking,2024-09-13
Airtel postpaid bill,1369.13,Bills & Utilities,Card,2024-10-07
Hotstar Disney plus,1910.25,Entertainment,Card,2024-10-22
NPS pension fund,9643.42,Investments & Savings,EMI,2024-11-22
Apollo pharmacy,1155.3,Healthcare,Cash,2024-07-14
Milk bread eggs,359.07,Food & Dining,Cash,2024-03-12
Dosa idli breakfast,739.16,Food & Dining,EMI,2024-03-09
Flipkart order clothes,4818.36,Shopping,Card,2024-02-23
Cosmetics beauty products,2446.63,Shopping,Net Banking,2024-02-01
Ambulance emergency,2846.62,Healthcare,EMI,2024-02-21
Reliance Smart groceries,2799.81,Shopping,UPI,2024-03-11
Gas cylinder booking,2611.0,Bills & Utilities,EMI,2024-06-28
Crypto investment buy,6734.2,Investments & Savings,UPI,2024-12-07
Online food order,709.76,Food & Dining,Net Banking,2024-12-24
Vaccination shot,1386.33,Healthcare,UPI,2024-06-20
DTH recharge tata sky,4197.63,Bills & Utilities,Cash,2024-04-20
Property tax payment,2548.87,Bills & Utilities,Net Banking,2024-05-02
Jio recharge mobile,4219.88,Bills & Utilities,EMI,2024-11-16
Restaurant dinner family,1071.63,Food & Dining,UPI,2024-11-08
Movie ticket PVR,182.28,Entertainment,Card,2024-01-11
Local taxi station,287.71,Transportation,Cash,2024-03-24
Rapido bike taxi,1853.75,Transportation,Card,2024-03-26
D-Mart household items,7345.37,Shopping,Card,2024-10-14
Sovereign gold bond,21891.81,Investments & Savings,UPI,2024-09-15
Ambulance emergency,2037.34,Healthcare,Cash,2024-02-13
Petrol car fill up,1221.51,Transportation,Cash,2024-04-22
Gaming purchase online,506.9,Entertainment,EMI,2024-05-23
Metro card recharge,1347.68,Transportation,Net Banking,2024-12-06
Credit card bill,1978.54,Bills & Utilities,Net Banking,2024-08-08
Airtel postpaid bill,4060.32,Bills & Utilities,Net Banking,2024-02-05
INOX cinema show,168.62,Entertainment,Card,2024-05-12
Books stationery purchase,1362.12,Shopping,Cash,2024-03-03
School fees monthly,14642.92,Education,Card,2024-06-17
ELSS tax saving fund,2437.23,Investments & Savings,Net Banking,2024-06-03
ELSS tax saving fund,9301.86,Investments & Savings,Cash,2024-06-17
Health insurance premium,1327.88,Healthcare,Cash,2024-01-12
Amazon Prime renewal,1689.54,Entertainment,Net Banking,2024-10-18
Yoga class monthly,1434.28,Healthcare,Cash,2024-02-14
Petrol fuel bike,1310.78,Transportation,UPI,2024-01-08
Books college semester,774.59,Education,Cash,2024-07-05
Comedy show event,398.42,Entertainment,Card,2024-06-17
Petrol fuel bike,925.76,Transportation,Cash,2024-07-09
Grocery vegetables fruits,827.53,Food & Dining,Net Banking,2024-02-18
Spotify premium music,1686.56,Entertainment,EMI,2024-01-22
NEET coaching fees,9900.14,Education,Card,2024-01-24
Flipkart order clothes,4552.97,Shopping,Net Banking,2024-10-20
Ola auto rickshaw,302.6,Transportation,Card,2024-07-23
Gold coin purchase,7868.04,Investments & Savings,Card,2024-08-02
Insurance premium LIC,4827.33,Bills & Utilities,UPI,2024-08-28
EPF employee provident,21073.41,Investments & Savings,Card,2024-06-11
Gaming purchase online,984.55,Entertainment,EMI,2024-06-05
Train ticket booking,1116.81,Transportation,Net Banking,2024-09-01
Share market demat,12471.22,Investments & Savings,Net Banking,2024-08-06
Electronics gadget,7616.84,Shopping,Card,2024-04-07
Flipkart order clothes,4713.74,Shopping,Cash,2024-10-22
Online course Udemy,4133.78,Education,EMI,2024-05-05
Mall shopping shoes,5683.3,Shopping,Net Banking,2024-02-22
Rapido bike taxi,893.22,Transportation,EMI,2024-12-10
Diesel vehicle refill,1851.24,Transportation,Net Banking,2024-11-28
Society maintenance fee,1263.44,Bills & Utilities,EMI,2024-01-24
Hotel breakfast buffet,168.88,Food & Dining,EMI,2024-10-17
McDonald's lunch,1067.64,Food & Dining,UPI,2024-10-21
Cosmetics beauty products,3569.82,Shopping,Cash,2024-10-09
Books stationery purchase,3090.45,Shopping,EMI,2024-11-11
Petrol fuel bike,1373.67,Transportation,UPI,2024-06-25
JEE preparation course,3506.45,Education,Cash,2024-11-16
Petrol fuel bike,1618.93,Transportation,Card,2024-01-02
OTT subscription combo,1899.49,Entertainment,Net Banking,2024-08-25
Concert music show,1759.2,Entertainment,UPI,2024-11-13
Snacks biscuits chips,976.48,Food & Dining,EMI,2024-04-05
Dosa idli breakfast,211.43,Food & Dining,Cash,2024-04-08
NSC post office,19976.9,Investments & Savings,Card,2024-03-24
NPS pension fund,8016.76,Investments & Savings,Net Banking,2024-11-17
Eye checkup glasses,209.06,Healthcare,Cash,2024-05-03
Apollo pharmacy,2316.07,Healthcare,Cash,2024-06-04
Gold coin purchase,5868.65,Investments & Savings,Card,2024-08-05
Property tax payment,682.43,Bills & Utilities,Card,2024-12-10
Dominos burger meal,434.08,Food & Dining,Card,2024-12-18
Movie ticket PVR,329.71,Entertainment,Card,2024-03-08
Auto rickshaw fare,1905.44,Transportation,Card,2024-11-10
Flight ticket travel,1771.75,Transportation,Net Banking,2024-10-24
Ambulance emergency,2004.04,Healthcare,EMI,2024-03-11
Reliance Smart groceries,5610.65,Shopping,Cash,2024-11-13
Cafe coffee snacks,1272.14,Food & Dining,UPI,2024-04-27
Amazon Prime renewal,754.47,Entertainment,UPI,2024-10-24
Vitamin supplements,2310.99,Healthcare,Cash,2024-06-01
Train ticket booking,388.01,Transportation,Cash,2024-07-11
Gas cylinder booking,3985.49,Bills & Utilities,EMI,2024-01-09
Municipal water bill,3128.39,Bills & Utilities,UPI,2024-11-27
RD recurring deposit,4171.38,Investments & Savings,Cash,2024-09-15
Eye checkup glasses,2973.86,Healthcare,EMI,2024-09-20
DTH recharge tata sky,3261.94,Bills & Utilities,Net Banking,2024-05-22
Water bill monthly,4183.13,Bills & Utilities,EMI,2024-04-19
Crypto investment buy,6270.27,Investments & Savings,Cash,2024-06-10
Netflix subscription monthly,1300.35,Entertainment,EMI,2024-04-23
D-Mart household items,1854.53,Shopping,Cash,2024-06-09
Milk bread eggs,700.49,Food & Dining,Net Banking,2024-03-09
Language learning app,4011.85,Education,EMI,2024-12-04
Ice cream dessert parlour,95.55,Food & Dining,Cash,2024-02-17
Diesel vehicle refill,1627.18,Transportation,Cash,2024-03-26
Water bill monthly,4566.21,Bills & Utilities,Cash,2024-12-14
Toll road highway,834.53,Transportation,Net Banking,2024-12-10
Property tax payment,3265.04,Bills & Utilities,Cash,2024-02-22
ULIPpremium payment,15604.72,Investments & Savings,Net Banking,2024-11-16
Online course Udemy,2365.62,Education,UPI,2024-07-12
Comedy show event,239.77,Entertainment,Card,2024-12-15
INOX cinema show,1578.21,Entertainment,EMI,2024-09-14
INOX cinema show,1529.3,Entertainment,Net Banking,2024-04-18
NEET coaching fees,7234.41,Education,Cash,2024-10-05
Hotstar Disney plus,1541.56,Entertainment,Net Banking,2024-08-20
Gas cylinder booking,1163.82,Bills & Utilities,EMI,2024-06-17
Library membership fee,14808.42,Education,EMI,2024-06-25
Study material purchase,12645.27,Education,UPI,2024-07-26
Cafe coffee snacks,1405.32,Food & Dining,Card,2024-11-23
Municipal water bill,1744.53,Bills & Utilities,Card,2024-12-08
Amazon Prime renewal,1094.14,Entertainment,Cash,2024-02-17
DTH recharge tata sky,1980.86,Bills & Utilities,EMI,2024-07-19
Books college semester,8958.49,Education,UPI,2024-01-10
Yoga class monthly,1037.3,Healthcare,Cash,2024-03-15
Coursera subscription,2083.79,Education,EMI,2024-04-08
Petrol fuel bike,1683.28,Transportation,EMI,2024-03-08
Local taxi station,945.35,Transportation,EMI,2024-09-20
Cricket match ticket,1325.45,Entertainment,Cash,2024-07-19
JEE preparation course,2039.67,Education,Card,2024-08-04
D-Mart household items,1089.88,Shopping,UPI,2024-07-16
Society maintenance fee,1482.43,Bills & Utilities,UPI,2024-05-24
EMI loan payment,1037.59,Bills & Utilities,UPI,2024-03-01
BSNL landline bill,2916.45,Bills & Utilities,Card,2024-03-06
Property tax payment,4923.34,Bills & Utilities,Card,2024-09-09
Internet broadband bill,2588.8,Bills & Utilities,EMI,2024-03-08
Zoo theme park visit,262.9,Entertainment,Cash,2024-07-23
NPS pension fund,21805.7,Investments & Savings,Net Banking,2024-07-03
ELSS tax saving fund,24121.54,Investments & Savings,EMI,2024-03-21
ELSS tax saving fund,24469.17,Investments & Savings,Net Banking,2024-06-13
Flight ticket travel,962.18,Transportation,Card,2024-11-03
Electronics gadget,4051.6,Shopping,UPI,2024-10-02
Auto rickshaw fare,950.76,Transportation,Card,2024-10-18
Yoga class monthly,1272.83,Healthcare,Net Banking,2024-05-04
Cafe coffee snacks,198.2,Food & Dining,Net Banking,2024-02-12
Study material purchase,14109.13,Education,EMI,2024-08-09
Zomato order biryani,1217.32,Food & Dining,Net Banking,2024-05-03
Mall shopping shoes,1928.45,Shopping,Card,2024-05-22
School fees monthly,14238.51,Education,EMI,2024-05-28
Snacks biscuits chips,1291.15,Food & Dining,UPI,2024-01-21
Apollo pharmacy,290.48,Healthcare,Cash,2024-10-21
Ambulance emergency,2251.92,Healthcare,Net Banking,2024-01-15
Stationery notebooks pen,2887.53,Education,Cash,2024-12-08
Medicine pharmacy purchase,511.44,Healthcare,UPI,2024-02-24
Medicine pharmacy purchase,2259.31,Healthcare,Cash,2024-03-18
Restaurant dinner family,1187.7,Food & Dining,Net Banking,2024-04-04
Health insurance premium,430.68,Healthcare,EMI,2024-04-25
Swiggy pizza delivery,1145.88,Food & Dining,UPI,2024-03-21
BookMyShow event,987.54,Entertainment,EMI,2024-03-20
Mall shopping shoes,4496.54,Shopping,EMI,2024-07-03
Library membership fee,7369.29,Education,Net Banking,2024-03-20
Mutual fund SIP payment,20804.96,Investments & Savings,EMI,2024-04-19
Chai samosa street food,1492.97,Food & Dining,Cash,2024-08-17
Cricket match ticket,798.6,Entertainment,Net Banking,2024-12-15
Insurance premium LIC,3826.77,Bills & Utilities,Card,2024-11-04
Cricket match ticket,731.12,Entertainment,UPI,2024-06-18
Water bill monthly,666.52,Bills & Utilities,EMI,2024-03-13
Mutual fund SIP payment,24321.11,Investments & Savings,Net Banking,2024-09-11
Movie ticket PVR,687.3,Entertainment,Net Banking,2024-04-12
Amusement park entry,1574.54,Entertainment,Net Banking,2024-01-10
Cosmetics beauty products,7673.75,Shopping,Net Banking,2024-12-07
Diesel vehicle refill,1787.28,Transportation,Net Banking,2024-09-15
Medicine pharmacy purchase,364.55,Healthcare,UPI,2024-02-14
Stationery notebooks pen,8735.45,Education,UPI,2024-06-10
YouTube premium plan,239.2,Entertainment,Cash,2024-11-03
Reliance Smart groceries,7973.73,Shopping,EMI,2024-06-12
Grocery vegetables fruits,54.71,Food & Dining,Cash,2024-09-25
Metro card recharge,946.03,Transportation,Net Banking,2024-11-07
Milk bread eggs,430.98,Food & Dining,EMI,2024-07-19
Mobile accessories buy,3078.36,Shopping,EMI,2024-09-12
NPS pension fund,8980.91,Investments & Savings,Cash,2024-04-24
Swiggy pizza delivery,1029.06,Food & Dining,Card,2024-07-04
Milk bread eggs,1262.24,Food & Dining,UPI,2024-04-06
Apollo pharmacy,2622.6,Healthcare,EMI,2024-11-13
Books stationery purchase,6690.72,Shopping,Net Banking,2024-12-10
Chai samosa street food,441.42,Food & Dining,EMI,2024-04-22
BSNL landline bill,2246.11,Bills & Utilities,UPI,2024-08-23
DTH recharge tata sky,711.94,Bills & Utilities,Net Banking,2024-10-12
Vaccination shot,2329.99,Healthcare,Card,2024-07-15
RD recurring deposit,10610.6,Investments & Savings,Net Banking,2024-09-17
Cosmetics beauty products,3653.22,Shopping,EMI,2024-07-10
Health insurance premium,1963.83,Healthcare,UPI,2024-10-22
NPS pension fund,8428.24,Investments & Savings,Card,2024-01-09
Water bill monthly,2382.97,Bills & Utilities,Cash,2024-10-13
Diesel vehicle refill,242.95,Transportation,UPI,2024-08-08
Grocery supermarket,1599.64,Shopping,UPI,2024-12-18
Doctor consultation fee,122.29,Healthcare,Cash,2024-04-25
Diagnostic lab test,725.15,Healthcare,EMI,2024-02-12
Doctor consultation fee,1800.75,Healthcare,EMI,2024-09-11
Hotel breakfast buffet,453.38,Food & Dining,UPI,2024-03-23
Zomato order biryani,152.94,Food & Dining,UPI,2024-04-03
Netflix subscription monthly,552.27,Entertainment,EMI,2024-08-03
RD recurring deposit,18252.33,Investments & Savings,Card,2024-01-09
Certification exam cost,13583.51,Education,Cash,2024-10-24
Dominos burger meal,824.5,Food & Dining,Card,2024-03-15
Dominos burger meal,1098.86,Food & Dining,EMI,2024-10-16
RD recurring deposit,5816.9,Investments & Savings,Card,2024-06-10
NEET coaching fees,10776.73,Education,Cash,2024-08-27
Milk bread eggs,922.93,Food & Dining,EMI,2024-04-23
Stationery notebooks pen,9109.01,Education,EMI,2024-09-18
Amusement park entry,222.45,Entertainment,EMI,2024-05-10
Physio therapy session,1081.26,Healthcare,EMI,2024-01-26
Zoo theme park visit,1166.74,Entertainment,Cash,2024-05-23
Yoga class monthly,1690.23,Healthcare,Cash,2024-07-20
Municipal water bill,3077.01,Bills & Utilities,Card,2024-02-09
Dominos burger meal,1198.52,Food & Dining,Net Banking,2024-10-03
INOX cinema show,1314.63,Entertainment,UPI,2024-02-22
DTH recharge tata sky,360.15,Bills & Utilities,Cash,2024-12-05
Swiggy pizza delivery,1005.52,Food & Dining,Cash,2024-07-14
Property tax payment,913.26,Bills & Utilities,EMI,2024-08-12
Restaurant dinner family,1323.11,Food & Dining,UPI,2024-02-24
Mobile accessories buy,6304.56,Shopping,Cash,2024-09-14
Municipal water bill,2393.25,Bills & Utilities,Card,2024-07-28
Fixed deposit bank,10016.27,Investments & Savings,Cash,2024-04-11
Gift birthday present,3739.21,Shopping,Cash,2024-05-08
